input,response_category,response
check my dues,fees_student,"Based on your current account status, you have outstanding dues in one or more fee categories. Your next payment is due soon for the upcoming semester."
view payment history,fees_student,Your payment history shows recent transactions across various fee categories.
fee structure,fees_student,"Your fee structure includes multiple categories such as tuition, hostel, exam, transportation, and other facilities."
late fee,fees_student,Late payment fines are calculated daily after the due date at a standard rate.
how to pay,fees_student,"Payment methods include online banking, cash, bank transfer, cheque, and demand draft."
refund policy,fees_student,"Full refund for withdrawals within first week, 80% within first 15 days, etc."
installments,fees_student,"Installment options available: 2 installments (60% upfront, 40% later), etc."
download receipt,fees_student,You can download receipts from your student portal under Fees & Payments section.
scholarship,fees_student,"Scholarship types available: merit-based, need-based, sports, etc."
account balance,fees_student,Your account balance shows paid amounts and remaining dues across all categories.
check overdue accounts,fees_admin,The system currently tracks outstanding dues across all programs and years.
generate collection report,fees_admin,Monthly collection metrics show collection rates against targets.
fee setup,fees_admin,Active fee structures include categories across programs and years.
financial report,fees_admin,Monthly collection metrics with breakdowns by program and payment method.
fine policy,fees_admin,"Fine policies include daily calculations after due date, grace periods, etc."
scholarship management,fees_admin,"Scholarship programs include merit-based, need-based, etc."
refund processing,fees_admin,Refund processing with policies for different withdrawal timings.
budget forecasting,fees_admin,Financial forecasting considers enrollment numbers and fee rate changes.
help,general,I'm your comprehensive AI assistant for student administration.
what can you do,general,"I can help with fees, finance, student accounts, and administrative tasks."
i want to check internet dues,fees_student,You currently have a pending balance for internet. Please pay by 2022-01-24 to avoid late fines.
i want to check tuition dues,fees_student,You currently have a pending balance for tuition. Please pay by 2022-02-07 to avoid late fines.
check medical dues,fees_student,You currently have a pending balance for medical. Please pay by 2024-01-25 to avoid late fines.
check hostel dues,fees_student,You currently have a pending balance for hostel. Please pay by 2025-02-12 to avoid late fines.
check sports dues,fees_student,You currently have a pending balance for sports. Please pay by 2024-11-20 to avoid late fines.
check transport dues for me,fees_student,You currently have a pending balance for transport. Please pay by 2022-07-09 to avoid late fines.
check internet dues for me,fees_student,You currently have a pending balance for internet. Please pay by 2022-10-21 to avoid late fines.
check misc dues,fees_student,You currently have a pending balance for misc. Please pay by 2026-04-22 to avoid late fines.
please check transport dues,fees_student,You currently have a pending balance for transport. Please pay by 2026-12-11 to avoid late fines.
i want to check misc dues,fees_student,You currently have a pending balance for misc. Please pay by 2026-09-09 to avoid late fines.
check hostel dues now,fees_student,You currently have a pending balance for hostel. Please pay by 2022-02-05 to avoid late fines.
i want to check placement dues,fees_student,You currently have a pending balance for placement. Please pay by 2026-05-18 to avoid late fines.
check exam dues now,fees_student,You currently have a pending balance for exam. Please pay by 2025-01-24 to avoid late fines.
check transport dues,fees_student,You currently have a pending balance for transport. Please pay by 2023-06-25 to avoid late fines.
